Model_Name,Data,Oversampler,Youden_Index,Best_Threshold,TN,FP,FN,TP,False_Negative_IDs,best_params
baseline,bow,None,0.4848,0.688,36,8,4,8,"[347, 350, 448, 698]","{'lr': 0.0038312163647116803, 'optimizer': 'Adam', 'epochs': 10}"
baseline,bow,RandomOverSampler,0.2424,0.040,18,26,2,10,"[412, 448]","{'lr': 0.09764725773164216, 'optimizer': 'Adam', 'epochs': 40}"
baseline,bow,SMOTE,0.3485,0.710,30,14,4,8,"[347, 350, 448, 698]","{'lr': 0.0038312163647116803, 'optimizer': 'Adam', 'epochs': 10}"
baseline,bow,BorderlineSMOTE,0.3939,0.670,32,12,4,8,"[347, 350, 448, 698]","{'lr': 0.0013766157379784647, 'optimizer': 'Adam', 'epochs': 30}"
baseline,deep_rep,None,0.4470,0.267,27,17,2,10,"[402, 448]","{'lr': 0.006358358856676255, 'optimizer': 'Adam', 'epochs': 40}"
baseline,deep_rep,RandomOverSampler,0.4015,0.209,25,19,2,10,"[402, 448]","{'lr': 0.0024680149555075647, 'optimizer': 'Adam', 'epochs': 40}"
baseline,deep_rep,SMOTE,0.2955,0.323,24,20,3,9,"[402, 412, 448]","{'lr': 0.006358358856676255, 'optimizer': 'Adam', 'epochs': 40}"
baseline,deep_rep,BorderlineSMOTE,0.3409,0.976,26,18,3,9,"[350, 402, 448]","{'lr': 0.01882027484284604, 'optimizer': 'SGD', 'epochs': 10}"
baseline,expert_k,None,0.3106,0.635,21,23,2,10,"[350, 448]","{'lr': 0.00021630235118742309, 'optimizer': 'Adam', 'epochs': 40}"
baseline,expert_k,RandomOverSampler,0.2879,0.444,20,24,2,10,"[381, 448]","{'lr': 0.00312467224898564, 'optimizer': 'Adam', 'epochs': 40}"
baseline,expert_k,SMOTE,0.3788,0.687,35,9,5,7,"[347, 365, 381, 412, 698]","{'lr': 0.03142880890840111, 'optimizer': 'Adam', 'epochs': 10}"
baseline,expert_k,BorderlineSMOTE,0.3712,0.459,20,24,1,11,[448],"{'lr': 0.06407455936233511, 'optimizer': 'SGD', 'epochs': 30}"
baseline,all,None,0.2955,1.000,24,20,3,9,"[350, 402, 448]","{'lr': 0.06264278041381323, 'optimizer': 'SGD', 'epochs': 10}"
baseline,all,RandomOverSampler,0.3939,0.882,32,12,4,8,"[381, 402, 412, 448]","{'lr': 0.006358358856676255, 'optimizer': 'Adam', 'epochs': 40}"
baseline,all,SMOTE,0.3636,0.992,27,17,3,9,"[350, 402, 448]","{'lr': 0.02379104676109112, 'optimizer': 'SGD', 'epochs': 10}"
baseline,all,BorderlineSMOTE,0.3409,0.811,26,18,3,9,"[350, 402, 448]","{'lr': 0.00881897811666825, 'optimizer': 'SGD', 'epochs': 10}"
